drone_id,drone_location,time,date,violation_code,violation_message,image_id,image_file
166,1 Corscot Alley,3:48,24/04/2020,,,,
167,0 6th Circle,8:49,22/01/2018,,,,
168,1325 Raven Center,9:09,03/11/2019,,,,
169,05 Clarendon Park,12:32,04/08/2019,,,,
170,84072 Muir Lane,18:08,24/05/2016,,,,
171,9236 Shelley Place,1:17,21/06/2015,,,,
172,7 Tomscot Drive,23:45,27/09/2018,,,,
173,84 Johnson Way,17:10,28/04/2020,PRK,bad_parking,0.0,http://dummyimage.com/241x196.jpg/dddddd/000000
174,5 Eagan Lane,17:49,23/09/2017,PRK,bad_parking,1.0,http://dummyimage.com/105x187.jpg/cc0000/ffffff
175,6442 Waywood Way,1:21,24/05/2019,,,,
176,4 Bayside Trail,2:24,14/07/2018,BRK,broken_component,0.0,http://dummyimage.com/243x222.jpg/5fa2dd/ffffff
177,51 Mesta Road,21:03,08/05/2015,,,,
178,43 Lillian Drive,7:09,17/08/2015,,,,
179,9506 Amoth Crossing,17:28,04/03/2016,,,,
180,0311 Miller Court,0:05,08/02/2018,,,,
181,7723 Mallory Drive,19:29,07/10/2016,,,,
182,37 Hanson Avenue,20:11,26/08/2019,,,,
183,3 Maple Center,2:30,02/08/2018,BRK,broken_component,0.0,http://dummyimage.com/158x143.jpg/ff4444/ffffff
184,888 Sage Circle,3:33,18/10/2019,PRK,bad_parking,0.0,http://dummyimage.com/181x246.jpg/5fa2dd/ffffff
185,8152 Tomscot Point,13:14,12/05/2015,,,,
186,22 Sauthoff Pass,18:54,09/04/2018,,,,
187,55 Claremont Drive,12:01,22/08/2019,,,,
188,80485 Gale Terrace,1:09,02/08/2017,,,,
189,6954 Green Plaza,3:22,25/10/2017,,,,
190,1906 Mifflin Point,8:01,14/01/2018,,,,
191,930 Kenwood Place,2:15,26/04/2018,,,,
192,3 Jackson Center,8:03,08/12/2016,BRK,broken_component,1.0,http://dummyimage.com/200x185.jpg/dddddd/000000
193,2 Thackeray Terrace,6:39,15/02/2017,,,,
194,0134 Clove Junction,17:17,06/04/2015,,,,
195,36852 Jay Park,19:55,12/01/2015,,,,
196,56 Chive Point,17:09,22/04/2016,PRK,bad_parking,1.0,http://dummyimage.com/209x183.jpg/cc0000/ffffff
197,4468 Dapin Place,17:24,21/07/2018,PRK,bad_parking,1.0,http://dummyimage.com/197x104.jpg/5fa2dd/ffffff
198,8674 Shoshone Court,7:54,17/12/2019,,,,
199,23 Bonner Place,11:23,20/06/2019,,,,
200,04 Nancy Center,3:49,06/06/2018,,,,
201,9 Pierstorff Drive,2:35,27/04/2017,BRK,broken_component,1.0,http://dummyimage.com/198x220.jpg/5fa2dd/ffffff
202,8 Del Sol Avenue,7:35,04/10/2016,,,,
203,481 Esch Street,18:34,04/01/2018,PRK,bad_parking,1.0,http://dummyimage.com/108x170.jpg/ff4444/ffffff
204,13070 Blue Bill Park Point,1:05,02/02/2017,,,,
205,59 Morning Junction,7:53,18/03/2018,,,,
206,18 Sheridan Road,10:01,08/10/2016,,,,
207,32 American Ash Avenue,11:20,18/06/2018,,,,
208,9 Mifflin Junction,12:43,16/11/2019,,,,
209,2040 Miller Circle,4:38,28/06/2018,,,,
210,287 Oriole Road,17:41,08/02/2017,BRK,broken_component,0.0,http://dummyimage.com/153x249.jpg/cc0000/ffffff
211,6 Helena Circle,0:01,21/01/2020,,,,
212,44170 Vidon Alley,3:04,01/03/2018,,,,
213,6 Roxbury Place,20:24,05/07/2017,PRK,bad_parking,0.0,http://dummyimage.com/213x227.jpg/5fa2dd/ffffff
214,154 Mitchell Lane,16:22,22/07/2018,,,,
215,8 Anhalt Lane,12:11,28/04/2016,,,,
216,63 North Trail,8:02,18/08/2019,,,,
217,32 Brentwood Road,18:17,24/03/2016,,,,
218,5 Raven Pass,9:10,17/12/2016,PRK,bad_parking,1.0,http://dummyimage.com/236x204.jpg/ff4444/ffffff
219,3451 Ridgeview Plaza,23:25,13/08/2016,,,,
220,395 Union Lane,23:50,24/05/2019,,,,
221,03855 Graceland Crossing,20:42,20/04/2019,,,,
222,314 Buhler Trail,14:55,13/08/2016,,,,
223,1 Lakewood Gardens Street,10:20,10/04/2020,,,,
224,2 Forster Center,20:34,13/12/2018,,,,
225,5890 Armistice Plaza,20:26,13/01/2017,,,,
226,6 Graceland Street,2:08,06/10/2018,,,,
227,200 Corscot Hill,4:34,20/09/2018,PRK,bad_parking,0.0,http://dummyimage.com/172x223.jpg/5fa2dd/ffffff
228,7 Golf Point,20:48,23/05/2017,,,,
229,251 Parkside Road,8:37,21/08/2015,,,,
230,13 8th Court,2:19,13/06/2015,,,,
231,052 Green Lane,8:15,16/10/2017,,,,
232,14 7th Circle,2:54,02/01/2017,,,,
233,885 Fairfield Road,2:14,17/06/2017,,,,
234,0 Coolidge Center,8:36,22/06/2015,,,,
235,5 Farwell Junction,17:58,12/10/2018,,,,
236,93 Toban Street,7:17,13/01/2018,,,,
237,4 Fieldstone Park,21:23,16/04/2018,,,,
238,737 Nobel Place,0:37,13/12/2018,,,,
239,54 Loftsgordon Park,13:28,08/09/2015,,,,
240,908 Fieldstone Trail,18:55,09/07/2015,,,,
241,19178 Pierstorff Hill,18:21,25/10/2017,,,,
242,5709 Steensland Hill,17:55,03/05/2018,,,,
243,016 East Center,21:50,20/09/2017,,,,
244,83 Morningstar Lane,0:51,26/04/2020,,,,
245,7 Lake View Point,16:27,08/11/2019,,,,
246,79875 Almo Drive,12:55,20/10/2016,,,,
247,5 Reindahl Point,7:40,07/07/2017,,,,
248,815 Birchwood Pass,20:11,23/09/2016,,,,
249,88 Lyons Drive,11:06,23/09/2015,,,,
250,23160 North Crossing,19:45,29/05/2018,,,,
251,02 Spaight Drive,10:10,10/10/2015,,,,
252,609 Morningstar Alley,12:40,31/01/2017,,,,
253,57 Rusk Place,12:58,13/02/2015,PRK,bad_parking,1.0,http://dummyimage.com/234x192.jpg/cc0000/ffffff
254,8347 Commercial Pass,15:33,10/11/2017,,,,
255,3 Kingsford Plaza,11:12,25/06/2015,,,,
256,651 Morningstar Pass,6:33,20/10/2017,,,,
257,37 Hollow Ridge Plaza,20:25,23/09/2017,,,,
258,7 Hanson Center,2:07,04/11/2016,,,,
259,594 Mayfield Circle,17:25,28/11/2018,,,,
260,1 Stang Terrace,13:05,25/02/2018,,,,
261,8 Brentwood Circle,17:22,17/11/2017,,,,
262,843 Delaware Way,5:10,26/03/2019,,,,
263,2 Crescent Oaks Pass,21:08,16/06/2018,,,,
264,109 Stang Way,20:07,24/08/2017,,,,
265,7121 Schurz Circle,4:37,15/05/2016,,,,
266,916 Buena Vista Plaza,22:33,16/01/2016,,,,
267,33 Northview Hill,14:23,21/03/2016,BRK,broken_component,0.0,http://dummyimage.com/210x192.jpg/ff4444/ffffff
268,0815 High Crossing Road,2:52,04/07/2018,,,,
269,22477 Ludington Center,16:06,14/11/2018,,,,
270,9443 Lawn Lane,15:02,29/05/2018,,,,
271,856 Claremont Circle,19:56,07/09/2015,,,,
272,539 Superior Plaza,7:58,29/08/2019,,,,
273,0 Briar Crest Way,5:45,13/02/2018,,,,
274,75 Manufacturers Hill,8:56,03/01/2016,,,,
275,17712 Continental Way,20:43,24/11/2016,BRK,broken_component,1.0,http://dummyimage.com/154x152.jpg/cc0000/ffffff
276,2 Arrowood Junction,17:49,03/09/2019,,,,
277,06384 Prentice Alley,4:24,01/12/2019,PRK,bad_parking,0.0,http://dummyimage.com/191x212.jpg/cc0000/ffffff
278,777 Mesta Alley,7:48,06/01/2015,,,,
279,5734 Schmedeman Pass,9:02,23/09/2015,,,,
280,6 Oak Valley Hill,13:36,02/12/2017,,,,
281,8288 Cascade Road,19:44,23/06/2018,,,,
282,7728 Thompson Drive,12:10,11/12/2017,,,,
283,826 Beilfuss Terrace,3:22,21/11/2017,,,,
284,843 Cody Street,20:19,30/10/2017,,,,
285,2004 Sachtjen Lane,15:25,23/05/2015,,,,
286,9728 Dwight Place,17:35,28/03/2015,,,,
287,37222 Sachtjen Avenue,2:09,10/11/2018,,,,
288,5 Sutherland Street,17:39,21/11/2016,BRK,broken_component,0.0,http://dummyimage.com/196x232.jpg/5fa2dd/ffffff
289,54 Rigney Terrace,20:58,11/10/2018,,,,
290,322 8th Junction,18:13,03/02/2018,PRK,bad_parking,1.0,http://dummyimage.com/102x150.jpg/cc0000/ffffff
291,4413 Rusk Road,18:21,15/09/2017,,,,
292,405 Canary Terrace,5:36,01/12/2018,,,,
293,7802 Dottie Hill,6:41,07/08/2015,,,,
294,16774 Banding Plaza,16:58,12/12/2018,,,,
295,9267 Nova Crossing,23:48,22/01/2017,,,,
296,94589 Ronald Regan Road,19:30,03/09/2019,BRK,broken_component,0.0,http://dummyimage.com/219x226.jpg/5fa2dd/ffffff
297,169 Daystar Crossing,0:43,08/05/2015,,,,
298,6 Eggendart Pass,1:33,13/01/2018,,,,
299,67 Rieder Trail,14:08,28/10/2018,BRK,broken_component,1.0,http://dummyimage.com/134x192.jpg/dddddd/000000
300,7454 Jay Lane,1:56,26/06/2018,,,,
301,6663 Rutledge Junction,3:05,04/01/2017,,,,
302,07 Eagan Pass,11:23,03/12/2017,,,,
303,2907 Mandrake Park,15:29,28/07/2016,,,,
304,59088 Stone Corner Hill,6:58,31/08/2017,PRK,bad_parking,0.0,http://dummyimage.com/130x140.jpg/dddddd/000000
305,38 Logan Trail,6:44,21/12/2017,,,,
306,954 Graedel Parkway,2:41,14/05/2018,,,,
307,11448 Summit Center,13:44,16/10/2017,,,,
308,92 Ilene Park,17:55,25/09/2019,,,,
309,71 Sachtjen Lane,0:30,11/03/2018,BRK,broken_component,1.0,http://dummyimage.com/118x128.jpg/dddddd/000000
310,8743 Corry Center,20:26,16/04/2019,,,,
311,4850 Anhalt Trail,16:12,17/08/2016,,,,
312,6 Ohio Drive,5:46,05/11/2017,,,,
313,5 Lillian Circle,10:42,07/03/2020,PRK,bad_parking,0.0,http://dummyimage.com/155x203.jpg/dddddd/000000
314,9 Truax Lane,4:39,05/02/2017,,,,
315,58753 Magdeline Plaza,0:45,13/09/2019,,,,
316,16 Bartillon Circle,3:00,01/11/2019,,,,
317,62446 Eliot Trail,22:37,24/01/2018,,,,
318,095 Dexter Junction,21:03,14/08/2015,PRK,bad_parking,0.0,http://dummyimage.com/147x168.jpg/dddddd/000000
319,91221 Ohio Circle,21:50,11/08/2016,,,,
320,0 Towne Trail,7:57,23/08/2016,BRK,broken_component,1.0,http://dummyimage.com/192x162.jpg/dddddd/000000
321,4 Michigan Court,17:49,07/09/2018,,,,
322,4 Acker Drive,14:48,21/09/2015,,,,
323,555 Orin Hill,4:01,19/12/2019,,,,
324,60 Portage Pass,2:58,29/03/2019,,,,
325,77 Fisk Circle,16:11,31/08/2019,,,,
326,1095 Westport Circle,9:27,08/02/2018,,,,
327,3 Evergreen Terrace,16:25,10/04/2015,,,,
328,595 Burrows Center,22:18,13/08/2019,PRK,bad_parking,1.0,http://dummyimage.com/116x250.jpg/5fa2dd/ffffff
329,8 Russell Plaza,11:05,04/08/2018,,,,
330,8 Jackson Junction,21:14,12/09/2018,,,,
331,5605 Saint Paul Parkway,8:16,26/04/2019,,,,
332,09 Morrow Street,14:06,14/01/2020,,,,
333,02 South Way,22:19,07/04/2016,,,,
334,29 Bayside Park,20:01,13/08/2017,,,,
335,1703 Briar Crest Way,2:34,25/01/2016,PRK,bad_parking,0.0,http://dummyimage.com/107x109.jpg/5fa2dd/ffffff
336,1 Northridge Place,8:34,25/02/2018,BRK,broken_component,1.0,http://dummyimage.com/241x140.jpg/5fa2dd/ffffff
337,32630 Waubesa Drive,23:02,16/04/2015,PRK,bad_parking,1.0,http://dummyimage.com/244x210.jpg/dddddd/000000
338,34407 Almo Trail,16:46,01/03/2019,,,,
339,8 Garrison Drive,23:52,08/03/2019,,,,
340,8821 Sycamore Drive,9:37,04/08/2015,,,,
341,0994 Cottonwood Place,22:15,24/11/2017,,,,
342,6 Hoard Plaza,1:25,10/09/2017,BRK,broken_component,1.0,http://dummyimage.com/238x238.jpg/ff4444/ffffff
343,37390 Sunbrook Point,9:26,03/09/2015,,,,
344,75670 Kinsman Alley,20:57,13/10/2017,,,,
345,39206 Loomis Hill,12:11,15/05/2017,PRK,bad_parking,1.0,http://dummyimage.com/149x213.jpg/5fa2dd/ffffff
346,96 Service Circle,18:32,31/03/2019,,,,
347,5393 Badeau Lane,15:55,22/03/2019,,,,
348,3 Monument Hill,10:32,26/10/2017,BRK,broken_component,1.0,http://dummyimage.com/114x250.jpg/dddddd/000000
349,37799 Mcbride Parkway,0:03,08/06/2019,,,,
350,559 Hudson Trail,21:48,03/08/2017,,,,
351,33 Colorado Crossing,22:49,29/10/2017,,,,
352,680 Miller Terrace,1:34,12/06/2019,,,,
353,657 Pankratz Circle,8:23,28/06/2017,,,,
354,6 Messerschmidt Alley,23:21,17/07/2016,,,,
355,4 Hovde Pass,1:19,13/02/2015,,,,
356,36 High Crossing Avenue,21:38,23/06/2018,,,,
357,6 Mariners Cove Street,9:10,06/11/2019,,,,
358,7 Lakewood Way,12:16,22/01/2015,BRK,broken_component,0.0,http://dummyimage.com/194x191.jpg/ff4444/ffffff
359,86923 Columbus Street,22:00,02/02/2017,,,,
360,59451 Schmedeman Street,10:15,01/09/2018,PRK,bad_parking,1.0,http://dummyimage.com/224x229.jpg/dddddd/000000
361,873 Blaine Street,22:15,12/04/2018,,,,
362,887 Independence Drive,20:08,06/12/2015,,,,
363,8181 Pierstorff Road,11:23,20/03/2019,,,,
364,85 Logan Avenue,8:40,25/04/2017,,,,
365,60 Donald Hill,18:39,05/01/2015,PRK,bad_parking,1.0,http://dummyimage.com/148x240.jpg/ff4444/ffffff
366,3969 Rutledge Pass,14:37,11/01/2018,,,,
367,947 Melvin Plaza,18:00,10/12/2017,,,,
368,54983 Artisan Center,21:47,17/04/2020,,,,
369,41 7th Alley,14:44,23/06/2017,,,,
370,8 Manitowish Place,8:51,31/08/2019,PRK,bad_parking,0.0,http://dummyimage.com/148x102.jpg/5fa2dd/ffffff
371,1228 Schlimgen Court,6:57,31/10/2018,,,,
372,56 Westport Crossing,3:03,23/11/2017,,,,
373,680 Paget Junction,6:26,12/02/2020,PRK,bad_parking,1.0,http://dummyimage.com/219x211.jpg/dddddd/000000
374,59424 Onsgard Hill,12:10,21/10/2016,,,,
375,9526 Columbus Trail,7:49,26/02/2018,,,,
376,984 Homewood Way,19:16,01/08/2017,,,,
377,0 Scofield Alley,17:42,08/02/2015,,,,
378,7142 Banding Lane,6:30,20/07/2019,BRK,broken_component,0.0,http://dummyimage.com/151x116.jpg/dddddd/000000
379,14 La Follette Way,7:05,03/11/2018,,,,
380,37428 Nelson Circle,13:31,16/02/2015,,,,
381,8 Hanover Crossing,21:22,02/09/2019,,,,
382,98330 Eagle Crest Drive,23:06,03/05/2015,,,,
383,324 Kim Place,11:43,28/10/2015,PRK,bad_parking,0.0,http://dummyimage.com/144x158.jpg/cc0000/ffffff
384,82 High Crossing Hill,5:50,06/07/2019,BRK,broken_component,0.0,http://dummyimage.com/174x180.jpg/cc0000/ffffff
385,678 Scoville Center,6:04,29/03/2019,,,,
386,60 Vidon Crossing,4:00,19/12/2016,,,,
387,48 Mallard Plaza,2:36,11/02/2018,BRK,broken_component,1.0,http://dummyimage.com/138x114.jpg/cc0000/ffffff
388,13 Fisk Way,19:57,28/05/2015,,,,
389,4467 Sutherland Trail,12:04,25/07/2017,,,,
390,4035 Muir Circle,19:57,09/03/2015,PRK,bad_parking,0.0,http://dummyimage.com/176x135.jpg/ff4444/ffffff
391,061 Almo Drive,19:33,18/10/2016,,,,
392,62244 Talmadge Road,18:28,23/02/2015,,,,
393,9992 Cascade Road,2:54,22/02/2020,PRK,bad_parking,0.0,http://dummyimage.com/199x204.jpg/cc0000/ffffff
394,511 Iowa Street,5:43,02/06/2015,BRK,broken_component,1.0,http://dummyimage.com/109x171.jpg/cc0000/ffffff
395,1426 Dorton Crossing,17:04,18/02/2015,BRK,broken_component,1.0,http://dummyimage.com/237x187.jpg/5fa2dd/ffffff
396,179 Brickson Park Plaza,17:02,19/10/2016,,,,
397,6150 Eggendart Point,17:59,31/08/2019,,,,
398,5 Bartillon Avenue,6:45,11/05/2015,,,,
399,62 Sherman Trail,6:44,16/08/2019,,,,
400,20913 Warbler Plaza,5:28,31/05/2015,BRK,broken_component,1.0,http://dummyimage.com/141x149.jpg/5fa2dd/ffffff
401,13942 Schlimgen Alley,18:51,10/07/2016,PRK,bad_parking,0.0,http://dummyimage.com/103x222.jpg/5fa2dd/ffffff
